Layer Mapping Number,Layer Mapping Part Type,Layer Number,Layer Type,Input GDS Number,Input GDS Data Type,Output GDS Number,Output GDS Data Type,Input Oasis Number,Input Oasis Data Type,Output Oasis Number,Output Oasis Data Type,Extended Layer Number,Extended Input GDS Number,Extended Input GDS Data Type,Extended Output GDS Number,Extended Output GDS Data Type,Extended Input Oasis Number,Extended Input Oasis Data Type,Extended Output Oasis Number,Extended Output Oasis Data Type
LM-0001.091,Layer Mapping Table,Mask_Poly1_40_Generic,Layer,28,0,28,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PcellVt2_5P_Generic,Layer,224,0,224,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Pad_95_Generic,Layer,37,0,37,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_Pad2_9B_Generic,Layer,71,0,71,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_P_PTHROU_5Q_Generic,Layer,234,0,234,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PW_NAT_22_Generic,Layer,164,0,164,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PWLVT_1A_Generic,Layer,135,0,135,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PWHV_04_Generic,Layer,44,0,44,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PVT_28_Generic,Layer,20,0,20,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_PRESI_5A_Generic,Layer,83,0,83,0,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Mask_POLYMEM_4C_Generic,Layer,16,0,16,0,,,,,,,,,,,,,
