Layer Mapping Number,Layer Mapping Part Type,Layer Number,Layer Type,Input GDS Number,Input GDS Data Type,Output GDS Number,Output GDS Data Type,Input Oasis Number,Input Oasis Data Type,Output Oasis Number,Output Oasis Data Type,Extended Layer Number,Extended Input GDS Number,Extended Input GDS Data Type,Extended Output GDS Number,Extended Output GDS Data Type,Extended Input Oasis Number,Extended Input Oasis Data Type,Extended Output Oasis Number,Extended Output Oasis Data Type
LM-0001.091,Layer Mapping Table,Drawn_Zener_Nimp_Label_Generic,Layer,13,10,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZVT_Label_Generic,Layer,141,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZST_Generic,Layer,217,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZPVT_Label_Generic,Layer,150,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZON_Label_Generic,Layer,84,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZERO_PSUB_Generic,Layer,246,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZERO_MASK_NBNOPC_Generic,Layer,221,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZERO_MASK_Label_Generic,Layer,221,10,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ZENER_Label_Generic,Layer,178,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Win2_NBNOPC_Generic,Layer,91,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Win2_Label_Generic,Layer,91,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Win2_CD_Generic,Layer,91,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ViaTop_NBNOPC_Generic,Layer,129,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ViaTop_Label_Generic,Layer,129,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ViaTop_CD_Generic,Layer,129,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ViaTop_Bar_Generic,Layer,129,15,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_ViaRDL_Label_Generic,Layer,170,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via8_Label_Generic,Layer,169,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via7_Label_Generic,Layer,140,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via7_Bar_Generic,Layer,140,15,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via6_Label_Generic,Layer,127,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via6_Bar_Generic,Layer,127,15,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via5_Label_Generic,Layer,82,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via5_Bar_Generic,Layer,82,15,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via4_NBNOPC_Generic,Layer,41,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via4_Label_Generic,Layer,41,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via4_Bar_Generic,Layer,41,15,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via3_SPE_Generic,Layer,40,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via3_NBNOPC_Generic,Layer,40,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via3_Label_Generic,Layer,40,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via3_Dummy_Generic,Layer,40,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via3_CD_Generic,Layer,40,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via3_Bar_Generic,Layer,40,15,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via2_SPE_Generic,Layer,38,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via2_NBNOPC_Generic,Layer,38,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via2_Label_Generic,Layer,38,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via2_Dummy_Generic,Layer,38,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via2_CD_Generic,Layer,38,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via2_Bar_Generic,Layer,38,15,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via1_SPE_Generic,Layer,35,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via1_NBNOPC_Generic,Layer,35,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via1_Label_Generic,Layer,35,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via1_Dummy_Generic,Layer,35,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via1_CD_Generic,Layer,35,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Via1_Bar_Generic,Layer,35,15,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_VT_ADJ_Label_Generic,Layer,52,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_VIA_METAL_STRAP_Label_Generic,Layer,145,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_VIA4_GRIDMK_Generic,Layer,77,17,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_V1ROM_Generic,Layer,16,50,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_UBMPPeri_Label_Generic,Layer,29,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_UBMPPeri_Generic,Layer,183,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_UBMPArray_Label_Generic,Layer,33,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_UBMPArray_Generic,Layer,184,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_UBMEPlate_Label_Generic,Layer,28,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_UBMEPlate_Generic,Layer,185,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_UBM2_Generic,Layer,253,73,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_U5SSM_Label_Generic,Layer,198,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Trench_imp_Label_Generic,Layer,38,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Trench_NBNOPC_Generic,Layer,6,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Trench_Label_Generic,Layer,6,10,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TUNOX_SPE_Generic,Layer,27,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TUNOX_NBNOPC_Generic,Layer,27,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TUNOX_Label_Generic,Layer,27,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TUNOX_Dummy_Generic,Layer,27,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TUNOX_CD_Generic,Layer,27,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TRANSMIS_Generic,Layer,212,7,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TP_SPE_Generic,Layer,10,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TP_NBNOPC_Generic,Layer,10,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TP_Label_Generic,Layer,10,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TP_Dummy_Generic,Layer,10,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TP_CD_Generic,Layer,10,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TN_SPE_Generic,Layer,47,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TN_NBNOPC_Generic,Layer,47,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TN_Label_Generic,Layer,47,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TN_Dummy_Generic,Layer,47,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TN_CD_Generic,Layer,47,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TGVT_Label_Generic,Layer,136,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_TGM_Label_Generic,Layer,237,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_SiOTP_Generic,Layer,24,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Schottky_diode_Generic,Layer,241,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_S_Contact_Label_Generic,Layer,230,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_STD_ROM_GF_JD,Layer,37,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_SRAM_ATV0_Generic,Layer,256,297,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_SLMOUTLINE_Generic,Layer,199,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_SAB_SPE_Generic,Layer,49,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_SAB_NBNOPC_Generic,Layer,49,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_SAB_Label_Generic,Layer,49,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_SAB_Dummy_Generic,Layer,49,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_SAB_CD_Generic,Layer,49,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Resistor_NBNOPC_Generic,Layer,62,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Resistor_Label_Generic,Layer,62,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Resistor_CD_Generic,Layer,62,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_RONO_NBNOPC_Generic,Layer,200,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_RONO_Label_Generic,Layer,200,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_RDL_FILL_Generic,Layer,74,1,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pwell_Label_Generic,Layer,43,10,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Prime_Area_Marking_Generic,Layer,1000,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PreDope_SPE_Generic,Layer,85,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PreDope_NBNOPC_Generic,Layer,85,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PreDope_Label_Generic,Layer,85,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PreDope_Dummy_Generic,Layer,85,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PreDope_CD_Generic,Layer,85,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pplus_SPE_Generic,Layer,31,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pplus_NBNOPC_Generic,Layer,31,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pplus_Label_Generic,Layer,31,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pplus_Dummy_Generic,Layer,31,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pplus_CD_Generic,Layer,31,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PplusRes_Blk_Label_Generic,Layer,74,10,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PplusRes_Blk_Dummy_Generic,Layer,74,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PolyPwell2_Label_Generic,Layer,77,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PolyPwell1_Label_Generic,Layer,76,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly3_SPE_Generic,Layer,45,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly3_NBNOPC_Generic,Layer,45,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly3_Label_Generic,Layer,45,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly3_Dummy_Generic,Layer,45,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly3_CD_Generic,Layer,45,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly2_SPE_Generic,Layer,30,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly2_NBNOPC_Generic,Layer,30,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly2_Label_Generic,Layer,30,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly2_Dummy_Generic,Layer,30,4,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly2_CD_Generic,Layer,30,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly1_SPE_Generic,Layer,28,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly1_NBNOPC_Generic,Layer,28,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly1_Label_Generic,Layer,28,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly1_Dummy_Generic,Layer,28,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Poly1_CD_Generic,Layer,28,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Phaseshift_Blk_Generic,Layer,162,0,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pcomp_Generic,Layer,2,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad_SPE_Generic,Layer,37,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad_NBNOPC_Generic,Layer,37,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad_Label_Generic,Layer,37,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad_Dummy_Generic,Layer,37,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad_CD_Generic,Layer,37,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad2_SPE_Generic,Layer,71,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad2_NBNOPC_Generic,Layer,71,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad2_Label_Generic,Layer,71,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad2_Dummy_Generic,Layer,71,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Pad2_CD_Generic,Layer,71,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_P_PTHROU_Label_Generic,Layer,234,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PW_NAT_Label_Generic,Layer,164,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PWHV_SPE_Generic,Layer,44,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PWHV_NBNOPC_Generic,Layer,44,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PWHV_Label_Generic,Layer,44,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PWHV_Dummy_Generic,Layer,44,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PWHV_D_Generic,Layer,21,39,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PWHV_CD_Generic,Layer,44,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PWELL_BLK_CD,Layer,23,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PWDMY_MTK_Generic,Layer,18,200,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PVT_SPE_Generic,Layer,20,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PVT_NBNOPC_Generic,Layer,20,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PVT_Label_Generic,Layer,20,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PVT_Dummy_Generic,Layer,20,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PVT_CD_Generic,Layer,20,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PROTECT_JD,Layer,102,18,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PRES_JD,Layer,12,201,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PRESI_Label_Generic,Layer,83,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PPWELL_Generic,Layer,236,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PPROTECT_Generic,Layer,47,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_POLYMEM_NBNOPC_Generic,Layer,16,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_POLYMEM_Label_Generic,Layer,16,10,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_POLYMEM_Dummy_Generic,Layer,16,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_POLYFUSE_Label_Generic,Layer,220,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_POLYCON_Label_Generic,Layer,194,10,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PM2_PPI_Generic,Layer,27,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PM1_PPI_Generic,Layer,26,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PM1_BOP_Generic,Layer,35,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PLDBODY_Label_Generic,Layer,74,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PLDBODY2_Label_Generic,Layer,93,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PISODEVICE_Label_Generic,Layer,62,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PISCAP_Label_Generic,Layer,120,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PIB_Label_Generic,Layer,50,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PField_SPE_Generic,Layer,23,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PField_NBNOPC_Generic,Layer,23,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PField_Label_Generic,Layer,23,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PField_Dummy_Generic,Layer,23,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PField_CD_Generic,Layer,23,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PF1VA_SPE_Generic,Layer,149,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PF1VA_NBNOPC_Generic,Layer,149,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PF1VA_Label_Generic,Layer,149,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PF1VA_Dummy_Generic,Layer,149,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PF1VA_CD_Generic,Layer,149,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PBO1_Generic,Layer,253,74,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_PAD_ALI_Generic,Layer,171,1,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_P1SLIT_Generic,Layer,49,39,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_OTPGate_Label_Generic,Layer,225,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nwell_SPE_Generic,Layer,21,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nwell_NBNOPC_Generic,Layer,21,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nwell_Label_Generic,Layer,21,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nwell_Dummy_Generic,Layer,21,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nwell_CD_Generic,Layer,21,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nplus_SPE_Generic,Layer,32,30,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nplus_NBNOPC_Generic,Layer,32,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nplus_Label_Generic,Layer,32,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nplus_Dummy_Generic,Layer,32,4,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Nplus_CD_Generic,Layer,32,32,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Ncomp_Generic,Layer,3,0,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_Ncap_Label_Generic,Layer,39,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_NWHV_NBNOPC_Generic,Layer,201,31,NIL,NIL,,,,,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_NWHV_Label_Generic,Layer,201,10,NIL,NIL,NIL,NIL,NIL,NIL,,,,,,,,,
LM-0001.091,Layer Mapping Table,Drawn_NW1A_SPE_Generic,Layer,148,30,NIL,NIL,,,,,,,,,,,,,
